f(GHz)	  e'	  e"	  u'	  u"	tan_e	tan_u	  RL	RL_med	 Zin	 S11	 S21	   A	   R	   T	 SEt	 SEr	 SEa	SEmr
9.70	0.36	0.13	0.36	0.13	0.38	0.38	-4.64	-3.20	21.50	0.61	0.34	0.51	0.38	0.11	8.80	2.04	7.38	-0.62
9.71	0.36	0.14	0.36	0.14	0.39	0.39	-4.92	-3.20	23.20	0.59	0.34	0.53	0.35	0.12	8.79	1.90	7.47	-0.57
9.72	0.37	0.15	0.37	0.15	0.40	0.40	-5.22	-3.20	25.07	0.58	0.34	0.55	0.33	0.12	8.80	1.75	7.57	-0.52
9.73	0.38	0.16	0.38	0.16	0.42	0.42	-5.54	-3.20	27.12	0.56	0.34	0.57	0.31	0.12	8.82	1.62	7.68	-0.47
9.74	0.39	0.17	0.39	0.17	0.43	0.43	-5.90	-3.20	29.34	0.54	0.34	0.59	0.29	0.12	8.86	1.48	7.80	-0.43
9.75	0.40	0.18	0.40	0.18	0.45	0.45	-6.29	-3.20	31.76	0.52	0.34	0.61	0.27	0.12	8.91	1.36	7.94	-0.38
9.76	0.41	0.19	0.41	0.19	0.47	0.47	-6.71	-3.20	34.34	0.50	0.34	0.64	0.25	0.12	8.98	1.23	8.09	-0.34
9.77	0.42	0.21	0.42	0.21	0.49	0.49	-7.17	-3.20	37.08	0.48	0.34	0.66	0.23	0.12	9.08	1.12	8.26	-0.30
9.78	0.43	0.22	0.43	0.22	0.51	0.51	-7.68	-3.20	39.93	0.46	0.34	0.68	0.21	0.11	9.20	1.01	8.45	-0.26
9.79	0.44	0.24	0.44	0.24	0.53	0.53	-8.24	-3.20	42.84	0.43	0.33	0.70	0.19	0.11	9.35	0.91	8.67	-0.23
9.80	0.45	0.25	0.45	0.25	0.56	0.56	-8.85	-3.20	45.72	0.41	0.33	0.72	0.17	0.11	9.53	0.81	8.91	-0.19
9.81	0.46	0.27	0.46	0.27	0.59	0.59	-9.53	-3.20	48.48	0.39	0.32	0.74	0.15	0.10	9.75	0.73	9.18	-0.16
9.82	0.48	0.29	0.48	0.29	0.62	0.62	-10.28	-3.20	50.99	0.37	0.31	0.76	0.14	0.10	10.00	0.65	9.49	-0.14
9.83	0.49	0.32	0.49	0.32	0.65	0.65	-11.10	-3.20	53.14	0.35	0.30	0.78	0.12	0.09	10.30	0.58	9.84	-0.11
9.84	0.50	0.34	0.50	0.34	0.69	0.69	-12.01	-3.20	54.84	0.33	0.29	0.80	0.11	0.08	10.65	0.52	10.23	-0.09
9.85	0.51	0.37	0.51	0.37	0.73	0.73	-13.02	-3.20	56.01	0.32	0.28	0.82	0.10	0.08	11.05	0.46	10.66	-0.08
9.86	0.51	0.40	0.51	0.40	0.78	0.78	-14.13	-3.20	56.64	0.30	0.26	0.84	0.09	0.07	11.51	0.42	11.16	-0.06
9.87	0.52	0.44	0.52	0.44	0.84	0.84	-15.35	-3.20	56.75	0.29	0.25	0.86	0.08	0.06	12.03	0.38	11.71	-0.05
9.88	0.53	0.48	0.53	0.48	0.90	0.90	-16.70	-3.20	56.42	0.28	0.23	0.87	0.08	0.05	12.62	0.34	12.32	-0.04
9.89	0.53	0.52	0.53	0.52	0.98	0.98	-18.17	-3.20	55.77	0.26	0.22	0.88	0.07	0.05	13.28	0.32	13.00	-0.03
9.90	0.53	0.56	0.53	0.56	1.07	1.07	-19.77	-3.20	54.90	0.26	0.20	0.90	0.07	0.04	14.02	0.29	13.75	-0.02
9.91	0.52	0.61	0.52	0.61	1.17	1.17	-21.50	-3.20	53.92	0.25	0.18	0.91	0.06	0.03	14.82	0.27	14.57	-0.02
9.92	0.51	0.66	0.51	0.66	1.30	1.30	-23.35	-3.20	52.93	0.24	0.16	0.92	0.06	0.03	15.69	0.26	15.45	-0.01
9.93	0.49	0.72	0.49	0.72	1.46	1.46	-25.30	-3.20	52.00	0.24	0.15	0.92	0.06	0.02	16.62	0.25	16.38	-0.01
9.94	0.46	0.77	0.46	0.77	1.67	1.67	-27.31	-3.20	51.17	0.23	0.13	0.93	0.05	0.02	17.58	0.24	17.35	-0.01
