f(GHz)	  e'	  e"	  u'	  u"	tan_e	tan_u	  RL	RL_med	 Zin	 S11	 S21	   A	   R	   T	 SEt	 SEr	 SEa	SEmr
8.77	0.04	0.00	0.04	0.00	0.09	0.09	-0.11	-1.19	0.32	0.99	0.04	0.01	0.98	0.00	27.25	17.98	10.15	-0.87
8.78	0.04	0.00	0.04	0.00	0.09	0.09	-0.11	-1.19	0.33	0.99	0.04	0.01	0.98	0.00	27.17	17.90	10.14	-0.87
8.79	0.04	0.00	0.04	0.00	0.09	0.09	-0.11	-1.19	0.33	0.99	0.04	0.01	0.98	0.00	27.08	17.81	10.14	-0.87
8.80	0.04	0.00	0.04	0.00	0.09	0.09	-0.12	-1.19	0.34	0.99	0.04	0.02	0.98	0.00	26.99	17.73	10.13	-0.87
8.81	0.04	0.00	0.04	0.00	0.09	0.09	-0.12	-1.19	0.34	0.99	0.04	0.02	0.98	0.00	26.90	17.65	10.12	-0.87
8.82	0.04	0.00	0.04	0.00	0.09	0.09	-0.12	-1.19	0.35	0.99	0.04	0.02	0.98	0.00	26.81	17.57	10.12	-0.87
8.83	0.04	0.00	0.04	0.00	0.09	0.09	-0.12	-1.19	0.36	0.99	0.04	0.02	0.98	0.00	26.72	17.48	10.11	-0.87
8.84	0.04	0.00	0.04	0.00	0.10	0.10	-0.13	-1.19	0.36	0.99	0.04	0.02	0.98	0.00	26.63	17.40	10.11	-0.87
8.85	0.04	0.00	0.04	0.00	0.10	0.10	-0.13	-1.19	0.37	0.99	0.04	0.02	0.98	0.00	26.54	17.31	10.11	-0.87
8.86	0.04	0.00	0.04	0.00	0.10	0.10	-0.13	-1.19	0.38	0.99	0.04	0.02	0.98	0.00	26.45	17.23	10.10	-0.88
8.87	0.04	0.00	0.04	0.00	0.10	0.10	-0.13	-1.19	0.38	0.99	0.04	0.02	0.98	0.00	26.36	17.14	10.10	-0.88
8.88	0.04	0.00	0.04	0.00	0.10	0.10	-0.14	-1.19	0.39	0.99	0.04	0.02	0.98	0.00	26.27	17.06	10.09	-0.88
8.89	0.04	0.00	0.04	0.00	0.10	0.10	-0.14	-1.19	0.40	0.99	0.04	0.02	0.98	0.00	26.18	16.97	10.09	-0.88
8.90	0.04	0.00	0.04	0.00	0.10	0.10	-0.14	-1.19	0.41	0.99	0.04	0.02	0.98	0.00	26.08	16.88	10.08	-0.88
8.91	0.04	0.00	0.04	0.00	0.10	0.10	-0.14	-1.19	0.41	0.99	0.05	0.02	0.98	0.00	25.99	16.79	10.08	-0.88
8.92	0.04	0.00	0.04	0.00	0.10	0.10	-0.15	-1.19	0.42	0.99	0.05	0.02	0.98	0.00	25.90	16.70	10.07	-0.88
8.93	0.04	0.00	0.04	0.00	0.10	0.10	-0.15	-1.19	0.43	0.99	0.05	0.02	0.98	0.00	25.80	16.61	10.07	-0.88
8.94	0.05	0.00	0.05	0.00	0.11	0.11	-0.15	-1.19	0.44	0.99	0.05	0.02	0.98	0.00	25.71	16.52	10.06	-0.88
8.95	0.05	0.00	0.05	0.00	0.11	0.11	-0.15	-1.19	0.45	0.99	0.05	0.02	0.98	0.00	25.61	16.43	10.06	-0.88
8.96	0.05	0.00	0.05	0.00	0.11	0.11	-0.16	-1.19	0.46	0.99	0.05	0.02	0.98	0.00	25.51	16.34	10.05	-0.88
8.97	0.05	0.01	0.05	0.01	0.11	0.11	-0.16	-1.19	0.47	0.99	0.05	0.02	0.98	0.00	25.42	16.25	10.05	-0.88
8.98	0.05	0.01	0.05	0.01	0.11	0.11	-0.16	-1.19	0.48	0.99	0.05	0.02	0.98	0.00	25.32	16.16	10.05	-0.88
8.99	0.05	0.01	0.05	0.01	0.11	0.11	-0.17	-1.19	0.49	0.99	0.05	0.02	0.98	0.00	25.22	16.06	10.04	-0.88
9.00	0.05	0.01	0.05	0.01	0.11	0.11	-0.17	-1.19	0.50	0.99	0.05	0.02	0.97	0.00	25.12	15.97	10.04	-0.88
9.01	0.05	0.01	0.05	0.01	0.11	0.11	-0.17	-1.19	0.51	0.99	0.05	0.02	0.97	0.00	25.02	15.87	10.03	-0.88
9.02	0.05	0.01	0.05	0.01	0.11	0.11	-0.18	-1.19	0.52	0.99	0.05	0.02	0.97	0.00	24.92	15.78	10.03	-0.88
9.03	0.05	0.01	0.05	0.01	0.12	0.12	-0.18	-1.19	0.53	0.99	0.05	0.02	0.97	0.00	24.82	15.68	10.02	-0.88
9.04	0.05	0.01	0.05	0.01	0.12	0.12	-0.19	-1.19	0.54	0.99	0.05	0.02	0.97	0.00	24.72	15.58	10.02	-0.88
9.05	0.05	0.01	0.05	0.01	0.12	0.12	-0.19	-1.19	0.55	0.99	0.05	0.03	0.97	0.00	24.62	15.48	10.02	-0.88
9.06	0.05	0.01	0.05	0.01	0.12	0.12	-0.19	-1.19	0.56	0.99	0.05	0.03	0.97	0.00	24.51	15.39	10.01	-0.88
9.07	0.05	0.01	0.05	0.01	0.12	0.12	-0.20	-1.19	0.58	0.99	0.05	0.03	0.97	0.00	24.41	15.29	10.01	-0.88
9.08	0.05	0.01	0.05	0.01	0.12	0.12	-0.20	-1.19	0.59	0.98	0.06	0.03	0.97	0.00	24.31	15.19	10.01	-0.88
9.09	0.05	0.01	0.05	0.01	0.12	0.12	-0.21	-1.19	0.60	0.98	0.06	0.03	0.97	0.00	24.20	15.08	10.00	-0.88
9.10	0.05	0.01	0.05	0.01	0.12	0.12	-0.21	-1.19	0.62	0.98	0.06	0.03	0.97	0.00	24.09	14.98	10.00	-0.88
9.11	0.05	0.01	0.05	0.01	0.13	0.13	-0.22	-1.19	0.63	0.98	0.06	0.03	0.97	0.00	23.99	14.88	9.99	-0.88
9.12	0.05	0.01	0.05	0.01	0.13	0.13	-0.22	-1.19	0.65	0.98	0.06	0.03	0.97	0.00	23.88	14.77	9.99	-0.88
9.13	0.05	0.01	0.05	0.01	0.13	0.13	-0.23	-1.19	0.66	0.98	0.06	0.03	0.97	0.00	23.77	14.67	9.99	-0.88
9.14	0.05	0.01	0.05	0.01	0.13	0.13	-0.23	-1.19	0.68	0.98	0.06	0.03	0.97	0.00	23.66	14.56	9.98	-0.88
9.15	0.06	0.01	0.06	0.01	0.13	0.13	-0.24	-1.19	0.70	0.98	0.06	0.03	0.96	0.00	23.55	14.46	9.98	-0.88
9.16	0.06	0.01	0.06	0.01	0.13	0.13	-0.24	-1.19	0.71	0.98	0.06	0.03	0.96	0.00	23.44	14.35	9.98	-0.88
9.17	0.06	0.01	0.06	0.01	0.14	0.14	-0.25	-1.19	0.73	0.98	0.06	0.03	0.96	0.00	23.33	14.24	9.98	-0.88
9.18	0.06	0.01	0.06	0.01	0.14	0.14	-0.26	-1.19	0.75	0.98	0.06	0.03	0.96	0.00	23.22	14.13	9.97	-0.88
9.19	0.06	0.01	0.06	0.01	0.14	0.14	-0.26	-1.19	0.77	0.98	0.06	0.04	0.96	0.00	23.10	14.02	9.97	-0.88
9.20	0.06	0.01	0.06	0.01	0.14	0.14	-0.27	-1.19	0.79	0.98	0.06	0.04	0.96	0.00	22.99	13.90	9.97	-0.88
9.21	0.06	0.01	0.06	0.01	0.14	0.14	-0.28	-1.19	0.81	0.98	0.06	0.04	0.96	0.00	22.87	13.79	9.96	-0.88
9.22	0.06	0.01	0.06	0.01	0.14	0.14	-0.28	-1.19	0.83	0.98	0.07	0.04	0.96	0.00	22.75	13.68	9.96	-0.88
9.23	0.06	0.01	0.06	0.01	0.15	0.15	-0.29	-1.19	0.85	0.98	0.07	0.04	0.96	0.00	22.64	13.56	9.96	-0.88
9.24	0.06	0.01	0.06	0.01	0.15	0.15	-0.30	-1.19	0.87	0.98	0.07	0.04	0.95	0.00	22.52	13.44	9.96	-0.88
9.25	0.06	0.01	0.06	0.01	0.15	0.15	-0.31	-1.19	0.90	0.98	0.07	0.04	0.95	0.00	22.40	13.33	9.95	-0.88
9.26	0.06	0.01	0.06	0.01	0.15	0.15	-0.32	-1.19	0.92	0.98	0.07	0.04	0.95	0.00	22.28	13.21	9.95	-0.88
9.27	0.06	0.01	0.06	0.01	0.16	0.16	-0.32	-1.19	0.95	0.98	0.07	0.04	0.95	0.00	22.15	13.08	9.95	-0.88
9.28	0.06	0.01	0.06	0.01	0.16	0.16	-0.33	-1.19	0.98	0.97	0.07	0.05	0.95	0.01	22.03	12.96	9.95	-0.88
9.29	0.07	0.01	0.07	0.01	0.16	0.16	-0.34	-1.19	1.00	0.97	0.07	0.05	0.95	0.01	21.91	12.84	9.94	-0.88
9.30	0.07	0.01	0.07	0.01	0.16	0.16	-0.35	-1.19	1.03	0.97	0.07	0.05	0.95	0.01	21.78	12.71	9.94	-0.88
9.31	0.07	0.01	0.07	0.01	0.16	0.16	-0.36	-1.19	1.06	0.97	0.07	0.05	0.94	0.01	21.65	12.59	9.94	-0.87
9.32	0.07	0.01	0.07	0.01	0.17	0.17	-0.37	-1.19	1.10	0.97	0.08	0.05	0.94	0.01	21.53	12.46	9.94	-0.87
9.33	0.07	0.01	0.07	0.01	0.17	0.17	-0.39	-1.19	1.13	0.97	0.08	0.05	0.94	0.01	21.40	12.33	9.94	-0.87
9.34	0.07	0.01	0.07	0.01	0.17	0.17	-0.40	-1.19	1.16	0.97	0.08	0.05	0.94	0.01	21.27	12.20	9.94	-0.87
9.35	0.07	0.01	0.07	0.01	0.17	0.17	-0.41	-1.19	1.20	0.97	0.08	0.06	0.94	0.01	21.14	12.07	9.93	-0.87
9.36	0.07	0.01	0.07	0.01	0.18	0.18	-0.42	-1.19	1.24	0.97	0.08	0.06	0.94	0.01	21.00	11.94	9.93	-0.87
9.37	0.07	0.01	0.07	0.01	0.18	0.18	-0.44	-1.19	1.28	0.97	0.08	0.06	0.93	0.01	20.87	11.80	9.93	-0.87
9.38	0.07	0.01	0.07	0.01	0.18	0.18	-0.45	-1.19	1.32	0.97	0.08	0.06	0.93	0.01	20.73	11.66	9.93	-0.86
9.39	0.07	0.01	0.07	0.01	0.19	0.19	-0.46	-1.19	1.36	0.96	0.08	0.06	0.93	0.01	20.59	11.52	9.93	-0.86
9.40	0.08	0.01	0.08	0.01	0.19	0.19	-0.48	-1.19	1.41	0.96	0.09	0.07	0.93	0.01	20.46	11.38	9.93	-0.86
9.41	0.08	0.01	0.08	0.01	0.19	0.19	-0.50	-1.19	1.46	0.96	0.09	0.07	0.92	0.01	20.32	11.24	9.93	-0.86
9.42	0.08	0.02	0.08	0.02	0.20	0.20	-0.51	-1.19	1.51	0.96	0.09	0.07	0.92	0.01	20.17	11.10	9.93	-0.85
9.43	0.08	0.02	0.08	0.02	0.20	0.20	-0.53	-1.19	1.56	0.96	0.09	0.07	0.92	0.01	20.03	10.95	9.93	-0.85
9.44	0.08	0.02	0.08	0.02	0.20	0.20	-0.55	-1.19	1.62	0.96	0.09	0.07	0.92	0.01	19.89	10.80	9.93	-0.85
9.45	0.08	0.02	0.08	0.02	0.21	0.21	-0.57	-1.19	1.67	0.96	0.09	0.08	0.91	0.01	19.74	10.65	9.93	-0.85
9.46	0.08	0.02	0.08	0.02	0.21	0.21	-0.59	-1.19	1.74	0.95	0.10	0.08	0.91	0.01	19.59	10.50	9.93	-0.84
9.47	0.08	0.02	0.08	0.02	0.21	0.21	-0.61	-1.19	1.80	0.95	0.10	0.08	0.91	0.01	19.44	10.35	9.93	-0.84
9.48	0.09	0.02	0.09	0.02	0.22	0.22	-0.63	-1.19	1.87	0.95	0.10	0.09	0.90	0.01	19.29	10.19	9.94	-0.84
9.49	0.09	0.02	0.09	0.02	0.22	0.22	-0.66	-1.19	1.94	0.95	0.10	0.09	0.90	0.01	19.14	10.03	9.94	-0.83
9.50	0.09	0.02	0.09	0.02	0.23	0.23	-0.68	-1.19	2.02	0.95	0.10	0.09	0.90	0.01	18.99	9.87	9.94	-0.83
9.51	0.09	0.02	0.09	0.02	0.23	0.23	-0.71	-1.19	2.10	0.95	0.10	0.10	0.89	0.01	18.83	9.71	9.94	-0.82
9.52	0.09	0.02	0.09	0.02	0.24	0.24	-0.74	-1.19	2.19	0.94	0.11	0.10	0.89	0.01	18.67	9.55	9.95	-0.82
9.53	0.09	0.02	0.09	0.02	0.24	0.24	-0.77	-1.19	2.28	0.94	0.11	0.10	0.88	0.01	18.51	9.38	9.95	-0.81
9.54	0.10	0.02	0.10	0.02	0.25	0.25	-0.80	-1.19	2.38	0.94	0.11	0.11	0.88	0.01	18.35	9.21	9.95	-0.81
9.55	0.10	0.02	0.10	0.02	0.25	0.25	-0.83	-1.19	2.48	0.94	0.11	0.11	0.88	0.01	18.19	9.04	9.96	-0.80
9.56	0.10	0.03	0.10	0.03	0.26	0.26	-0.87	-1.19	2.59	0.93	0.11	0.12	0.87	0.01	18.03	8.86	9.96	-0.80
9.57	0.10	0.03	0.10	0.03	0.26	0.26	-0.91	-1.19	2.71	0.93	0.12	0.12	0.86	0.01	17.86	8.68	9.97	-0.79
9.58	0.10	0.03	0.10	0.03	0.27	0.27	-0.95	-1.19	2.83	0.93	0.12	0.13	0.86	0.01	17.70	8.50	9.98	-0.78
9.59	0.10	0.03	0.10	0.03	0.28	0.28	-0.99	-1.19	2.97	0.92	0.12	0.13	0.85	0.01	17.53	8.32	9.98	-0.78
9.60	0.11	0.03	0.11	0.03	0.28	0.28	-1.04	-1.19	3.11	0.92	0.12	0.14	0.85	0.02	17.36	8.14	9.99	-0.77
9.61	0.11	0.03	0.11	0.03	0.29	0.29	-1.09	-1.19	3.27	0.92	0.13	0.14	0.84	0.02	17.19	7.95	10.00	-0.76
9.62	0.11	0.03	0.11	0.03	0.30	0.30	-1.14	-1.19	3.43	0.91	0.13	0.15	0.83	0.02	17.01	7.76	10.01	-0.75
9.63	0.11	0.03	0.11	0.03	0.31	0.31	-1.19	-1.19	3.61	0.91	0.13	0.16	0.82	0.02	16.84	7.56	10.02	-0.74
9.64	0.12	0.04	0.12	0.04	0.32	0.32	-1.25	-1.19	3.80	0.90	0.13	0.17	0.82	0.02	16.66	7.36	10.03	-0.73
9.65	0.12	0.04	0.12	0.04	0.32	0.32	-1.32	-1.19	4.00	0.90	0.14	0.17	0.81	0.02	16.49	7.16	10.05	-0.72
9.66	0.12	0.04	0.12	0.04	0.33	0.33	-1.39	-1.19	4.23	0.89	0.14	0.18	0.80	0.02	16.31	6.96	10.06	-0.71
9.67	0.12	0.04	0.12	0.04	0.34	0.34	-1.46	-1.19	4.47	0.89	0.14	0.19	0.79	0.02	16.13	6.75	10.08	-0.70
9.68	0.13	0.04	0.13	0.04	0.35	0.35	-1.55	-1.19	4.73	0.88	0.15	0.20	0.78	0.02	15.95	6.55	10.09	-0.69
9.69	0.13	0.05	0.13	0.05	0.37	0.37	-1.63	-1.19	5.01	0.88	0.15	0.21	0.77	0.02	15.77	6.33	10.11	-0.67
9.70	0.13	0.05	0.13	0.05	0.38	0.38	-1.73	-1.19	5.31	0.87	0.15	0.22	0.76	0.02	15.59	6.12	10.14	-0.66
9.71	0.14	0.05	0.14	0.05	0.39	0.39	-1.83	-1.19	5.65	0.86	0.16	0.23	0.74	0.02	15.42	5.90	10.16	-0.65
9.72	0.14	0.06	0.14	0.06	0.40	0.40	-1.94	-1.19	6.01	0.85	0.16	0.24	0.73	0.03	15.24	5.68	10.19	-0.63
9.73	0.14	0.06	0.14	0.06	0.42	0.42	-2.06	-1.19	6.41	0.85	0.16	0.26	0.72	0.03	15.06	5.46	10.22	-0.61
9.74	0.15	0.06	0.15	0.06	0.43	0.43	-2.20	-1.19	6.84	0.84	0.17	0.27	0.70	0.03	14.89	5.23	10.25	-0.59
9.75	0.15	0.07	0.15	0.07	0.45	0.45	-2.34	-1.19	7.32	0.83	0.17	0.29	0.68	0.03	14.72	5.00	10.29	-0.57
9.76	0.15	0.07	0.15	0.07	0.47	0.47	-2.50	-1.19	7.84	0.82	0.18	0.30	0.67	0.03	14.55	4.78	10.33	-0.55
9.77	0.16	0.08	0.16	0.08	0.49	0.49	-2.67	-1.19	8.41	0.81	0.18	0.32	0.65	0.03	14.39	4.55	10.38	-0.53
9.78	0.16	0.08	0.16	0.08	0.51	0.51	-2.86	-1.19	9.04	0.79	0.18	0.34	0.63	0.03	14.23	4.31	10.43	-0.51
9.79	0.16	0.09	0.16	0.09	0.53	0.53	-3.07	-1.19	9.74	0.78	0.19	0.36	0.61	0.03	14.08	4.08	10.49	-0.49
9.80	0.17	0.09	0.17	0.09	0.56	0.56	-3.30	-1.19	10.50	0.77	0.19	0.38	0.59	0.04	13.94	3.85	10.55	-0.46
9.81	0.17	0.10	0.17	0.10	0.59	0.59	-3.55	-1.19	11.34	0.75	0.19	0.40	0.57	0.04	13.81	3.62	10.63	-0.44
9.82	0.18	0.11	0.18	0.11	0.62	0.62	-3.83	-1.19	12.26	0.74	0.20	0.42	0.54	0.04	13.69	3.39	10.71	-0.41
9.83	0.18	0.12	0.18	0.12	0.65	0.65	-4.13	-1.19	13.27	0.72	0.20	0.44	0.52	0.04	13.59	3.16	10.81	-0.38
9.84	0.18	0.13	0.18	0.13	0.69	0.69	-4.47	-1.19	14.38	0.70	0.20	0.47	0.49	0.04	13.50	2.94	10.91	-0.35
9.85	0.19	0.14	0.19	0.14	0.73	0.73	-4.85	-1.19	15.59	0.68	0.21	0.49	0.47	0.04	13.43	2.72	11.03	-0.32
9.86	0.19	0.15	0.19	0.15	0.78	0.78	-5.26	-1.19	16.89	0.66	0.21	0.52	0.44	0.04	13.39	2.51	11.17	-0.30
9.87	0.19	0.16	0.19	0.16	0.84	0.84	-5.72	-1.19	18.28	0.64	0.21	0.54	0.41	0.04	13.37	2.31	11.32	-0.27
9.88	0.20	0.18	0.20	0.18	0.90	0.90	-6.22	-1.19	19.76	0.62	0.21	0.57	0.39	0.04	13.38	2.12	11.50	-0.24
9.89	0.20	0.19	0.20	0.19	0.98	0.98	-6.77	-1.19	21.30	0.60	0.21	0.60	0.36	0.04	13.42	1.94	11.69	-0.21
9.90	0.20	0.21	0.20	0.21	1.07	1.07	-7.36	-1.19	22.88	0.58	0.21	0.62	0.33	0.04	13.49	1.77	11.91	-0.19
9.91	0.19	0.23	0.19	0.23	1.17	1.17	-8.01	-1.19	24.46	0.56	0.21	0.65	0.31	0.04	13.60	1.61	12.15	-0.17
9.92	0.19	0.25	0.19	0.25	1.30	1.30	-8.70	-1.19	26.00	0.54	0.20	0.67	0.29	0.04	13.74	1.47	12.41	-0.14
9.93	0.18	0.27	0.18	0.27	1.46	1.46	-9.42	-1.19	27.46	0.52	0.20	0.69	0.27	0.04	13.91	1.34	12.70	-0.13
9.94	0.17	0.29	0.17	0.29	1.67	1.67	-10.17	-1.19	28.79	0.50	0.19	0.72	0.25	0.04	14.12	1.23	12.99	-0.11
