f(GHz)	  e'	  e"	  u'	  u"	tan_e	tan_u	  RL	RL_med	 Zin	 S11	 S21	   A	   R	   T	 SEt	 SEr	 SEa	SEmr
9.21	6.24	0.87	6.24	0.87	0.14	0.14	-28.62	-123.32	50.03	0.17	0.18	0.94	0.03	0.03	14.65	0.13	14.53	-0.01
9.22	6.31	0.89	6.31	0.89	0.14	0.14	-29.35	-123.32	49.06	0.17	0.18	0.94	0.03	0.03	15.02	0.13	14.90	-0.01
9.23	6.38	0.92	6.38	0.92	0.14	0.14	-30.11	-123.32	48.33	0.17	0.17	0.94	0.03	0.03	15.39	0.13	15.27	-0.01
9.24	6.45	0.94	6.45	0.94	0.15	0.15	-30.89	-123.32	47.86	0.17	0.16	0.95	0.03	0.03	15.79	0.12	15.67	-0.01
9.25	6.53	0.96	6.53	0.96	0.15	0.15	-31.71	-123.32	47.66	0.17	0.15	0.95	0.03	0.02	16.19	0.12	16.08	-0.01
9.26	6.61	0.99	6.61	0.99	0.15	0.15	-32.56	-123.32	47.71	0.17	0.15	0.95	0.03	0.02	16.62	0.12	16.50	-0.01
9.27	6.69	1.01	6.69	1.01	0.15	0.15	-33.44	-123.32	47.98	0.17	0.14	0.95	0.03	0.02	17.06	0.12	16.94	-0.00
9.28	6.77	1.04	6.77	1.04	0.15	0.15	-34.36	-123.32	48.42	0.17	0.13	0.95	0.03	0.02	17.52	0.12	17.40	-0.00
9.29	6.85	1.07	6.85	1.07	0.16	0.16	-35.32	-123.32	48.97	0.17	0.13	0.96	0.03	0.02	17.99	0.12	17.87	-0.00
9.30	6.94	1.10	6.94	1.10	0.16	0.16	-36.31	-123.32	49.55	0.17	0.12	0.96	0.03	0.01	18.49	0.12	18.37	-0.00
9.31	7.03	1.13	7.03	1.13	0.16	0.16	-37.34	-123.32	50.09	0.17	0.11	0.96	0.03	0.01	19.01	0.12	18.89	-0.00
9.32	7.12	1.16	7.12	1.16	0.16	0.16	-38.42	-123.32	50.52	0.17	0.11	0.96	0.03	0.01	19.55	0.12	19.42	-0.00
9.33	7.21	1.19	7.21	1.19	0.17	0.17	-39.54	-123.32	50.78	0.17	0.10	0.96	0.03	0.01	20.11	0.12	19.99	-0.00
9.34	7.30	1.23	7.30	1.23	0.17	0.17	-40.71	-123.32	50.88	0.17	0.09	0.96	0.03	0.01	20.69	0.12	20.57	-0.00
9.35	7.40	1.26	7.40	1.26	0.17	0.17	-41.93	-123.32	50.81	0.17	0.09	0.96	0.03	0.01	21.30	0.12	21.18	-0.00
9.36	7.50	1.30	7.50	1.30	0.17	0.17	-43.21	-123.32	50.62	0.17	0.08	0.97	0.03	0.01	21.94	0.12	21.82	-0.00
9.37	7.60	1.34	7.60	1.34	0.18	0.18	-44.54	-123.32	50.36	0.17	0.07	0.97	0.03	0.01	22.60	0.12	22.48	-0.00
9.38	7.71	1.38	7.71	1.38	0.18	0.18	-45.93	-123.32	50.11	0.16	0.07	0.97	0.03	0.00	23.30	0.12	23.18	-0.00
9.39	7.82	1.42	7.82	1.42	0.18	0.18	-47.39	-123.32	49.90	0.16	0.06	0.97	0.03	0.00	24.02	0.12	23.91	-0.00
9.40	7.93	1.46	7.93	1.46	0.18	0.18	-48.91	-123.32	49.77	0.16	0.06	0.97	0.03	0.00	24.78	0.12	24.67	-0.00
9.41	8.05	1.51	8.05	1.51	0.19	0.19	-50.51	-123.32	49.73	0.16	0.05	0.97	0.03	0.00	25.58	0.12	25.46	-0.00
9.42	8.17	1.56	8.17	1.56	0.19	0.19	-52.18	-123.32	49.76	0.16	0.05	0.97	0.03	0.00	26.42	0.12	26.30	-0.00
9.43	8.29	1.61	8.29	1.61	0.19	0.19	-53.94	-123.32	49.83	0.16	0.04	0.97	0.03	0.00	27.29	0.12	27.18	-0.00
9.44	8.41	1.66	8.41	1.66	0.20	0.20	-55.78	-123.32	49.93	0.16	0.04	0.97	0.03	0.00	28.21	0.12	28.10	-0.00
9.45	8.54	1.72	8.54	1.72	0.20	0.20	-57.71	-123.32	50.01	0.16	0.03	0.97	0.03	0.00	29.18	0.11	29.06	-0.00
9.46	8.68	1.78	8.68	1.78	0.20	0.20	-59.74	-123.32	50.06	0.16	0.03	0.97	0.03	0.00	30.19	0.11	30.08	-0.00
9.47	8.82	1.84	8.82	1.84	0.21	0.21	-61.88	-123.32	50.08	0.16	0.03	0.97	0.03	0.00	31.26	0.11	31.15	-0.00
9.48	8.96	1.90	8.96	1.90	0.21	0.21	-64.13	-123.32	50.06	0.16	0.02	0.97	0.03	0.00	32.38	0.11	32.27	-0.00
9.49	9.10	1.97	9.10	1.97	0.22	0.22	-66.50	-123.32	50.03	0.16	0.02	0.97	0.03	0.00	33.57	0.11	33.45	-0.00
9.50	9.26	2.04	9.26	2.04	0.22	0.22	-69.00	-123.32	50.00	0.16	0.02	0.97	0.03	0.00	34.81	0.11	34.70	-0.00
9.51	9.41	2.12	9.41	2.12	0.22	0.22	-71.63	-123.32	49.99	0.16	0.02	0.97	0.03	0.00	36.13	0.11	36.02	-0.00
9.52	9.57	2.20	9.57	2.20	0.23	0.23	-74.42	-123.32	49.98	0.16	0.01	0.97	0.03	0.00	37.52	0.11	37.41	-0.00
9.53	9.74	2.28	9.74	2.28	0.23	0.23	-77.36	-123.32	49.99	0.16	0.01	0.97	0.02	0.00	38.99	0.11	38.88	-0.00
9.54	9.91	2.37	9.91	2.37	0.24	0.24	-80.47	-123.32	50.00	0.16	0.01	0.98	0.02	0.00	40.55	0.11	40.44	-0.00
9.55	10.09	2.47	10.09	2.47	0.24	0.24	-83.77	-123.32	50.00	0.16	0.01	0.98	0.02	0.00	42.19	0.11	42.09	-0.00
9.56	10.28	2.57	10.28	2.57	0.25	0.25	-87.27	-123.32	50.00	0.16	0.01	0.98	0.02	0.00	43.94	0.11	43.83	-0.00
9.57	10.47	2.67	10.47	2.67	0.26	0.26	-90.98	-123.32	50.00	0.16	0.01	0.98	0.02	0.00	45.80	0.11	45.69	-0.00
9.58	10.67	2.79	10.67	2.79	0.26	0.26	-94.92	-123.32	50.00	0.16	0.00	0.98	0.02	0.00	47.77	0.11	47.66	-0.00
9.59	10.87	2.91	10.87	2.91	0.27	0.27	-99.12	-123.32	50.00	0.16	0.00	0.98	0.02	0.00	49.86	0.11	49.76	-0.00
9.60	11.08	3.03	11.08	3.03	0.27	0.27	-103.58	-123.32	50.00	0.16	0.00	0.98	0.02	0.00	52.10	0.11	51.99	-0.00
9.61	11.31	3.17	11.31	3.17	0.28	0.28	-108.34	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	54.47	0.11	54.37	-0.00
9.62	11.53	3.31	11.53	3.31	0.29	0.29	-113.43	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	57.02	0.10	56.91	-0.00
9.63	11.77	3.47	11.77	3.47	0.29	0.29	-118.86	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	59.73	0.10	59.63	-0.00
9.64	12.02	3.64	12.02	3.64	0.30	0.30	-124.67	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	62.64	0.10	62.53	-0.00
9.65	12.27	3.81	12.27	3.81	0.31	0.31	-130.90	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	65.75	0.10	65.65	-0.00
9.66	12.54	4.00	12.54	4.00	0.32	0.32	-137.58	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	69.09	0.10	68.99	-0.00
9.67	12.81	4.21	12.81	4.21	0.33	0.33	-144.76	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	72.68	0.10	72.58	-0.00
9.68	13.10	4.43	13.10	4.43	0.34	0.34	-152.49	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	76.54	0.10	76.44	-0.00
9.69	13.40	4.67	13.40	4.67	0.35	0.35	-160.82	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	80.70	0.10	80.60	-0.00
9.70	13.71	4.92	13.71	4.92	0.36	0.36	-169.81	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	85.20	0.10	85.10	-0.00
9.71	14.03	5.20	14.03	5.20	0.37	0.37	-179.52	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	90.05	0.10	89.95	-0.00
9.72	14.36	5.50	14.36	5.50	0.38	0.38	-190.05	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	95.31	0.10	95.21	-0.00
9.73	14.70	5.82	14.70	5.82	0.40	0.40	-201.46	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	101.02	0.10	100.92	-0.00
9.74	15.06	6.17	15.06	6.17	0.41	0.41	-213.85	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	107.21	0.10	107.12	-0.00
9.75	15.43	6.56	15.43	6.56	0.42	0.42	-227.34	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	113.96	0.10	113.86	-0.00
9.76	15.81	6.97	15.81	6.97	0.44	0.44	-242.04	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	121.31	0.10	121.21	-0.00
9.77	16.20	7.43	16.20	7.43	0.46	0.46	-258.10	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	129.34	0.10	129.24	-0.00
9.78	16.61	7.92	16.61	7.92	0.48	0.48	-275.65	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	138.12	0.10	138.02	-0.00
9.79	17.03	8.47	17.03	8.47	0.50	0.50	-294.80	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	147.73	0.10	147.64	0.00
9.80	17.45	9.07	17.45	9.07	0.52	0.52	-316.83	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	158.29	0.10	158.20	0.00
9.81	17.88	9.72	17.88	9.72	0.54	0.54	-346.96	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	169.90	0.09	169.80	0.00
9.82	18.32	10.44	18.32	10.44	0.57	0.57	-364.90	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	182.67	0.09	182.57	0.00
9.83	18.75	11.24	18.75	11.24	0.60	0.60	-414.68	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	196.75	0.09	196.65	0.00
9.84	19.18	12.11	19.18	12.11	0.63	0.63	-424.44	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	212.28	0.09	212.18	0.00
9.85	19.60	13.08	19.60	13.08	0.67	0.67	-336.09	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	229.42	0.09	229.33	0.00
9.86	19.99	14.15	19.99	14.15	0.71	0.71	-497.87	-123.32	50.00	0.15	0.00	0.98	0.02	0.00	248.36	0.09	248.27	0.00
9.87	20.35	15.32	20.35	15.32	0.75	0.75	-543.28	-123.32	50.00	0.14	0.00	0.98	0.02	0.00	269.27	0.09	269.18	0.00
9.88	20.66	16.62	20.66	16.62	0.80	0.80	-584.67	-123.32	50.00	0.14	0.00	0.98	0.02	0.00	292.34	0.09	292.25	0.00
9.89	20.91	18.05	20.91	18.05	0.86	0.86	-651.42	-123.32	50.00	0.14	0.00	0.98	0.02	0.00	317.74	0.09	317.65	0.00
9.90	21.06	19.61	21.06	19.61	0.93	0.93	-696.35	-123.32	50.00	0.14	0.00	0.98	0.02	0.00	345.63	0.09	345.54	0.00
9.91	21.09	21.32	21.09	21.32	1.01	1.01	-754.91	-123.32	50.00	0.14	0.00	0.98	0.02	0.00	376.11	0.09	376.02	0.00
9.92	20.96	23.18	20.96	23.18	1.11	1.11	-827.52	-123.32	50.00	0.14	0.00	0.98	0.02	0.00	409.21	0.09	409.12	0.00
9.93	20.64	25.17	20.64	25.17	1.22	1.22	-891.27	-123.32	50.00	0.14	0.00	0.98	0.02	0.00	444.82	0.09	444.73	0.00
9.94	20.07	27.29	20.07	27.29	1.36	1.36	-997.64	-123.32	50.00	0.14	0.00	0.98	0.02	0.00	482.68	0.09	482.60	0.00
