f(GHz)	  e'	  e"	  u'	  u"	tan_e	tan_u	  RL	RL_med	 Zin	 S11	 S21	   A	   R	   T	 SEt	 SEr	 SEa	SEmr
8.48	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	41.54	26.11	15.67	-0.24
8.49	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	41.46	26.04	15.66	-0.24
8.50	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	41.39	25.97	15.65	-0.24
8.51	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	41.31	25.90	15.65	-0.24
8.52	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	41.23	25.83	15.64	-0.24
8.53	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	41.15	25.76	15.63	-0.24
8.54	0.01	0.00	0.01	0.00	0.07	0.07	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	41.07	25.69	15.63	-0.24
8.55	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	40.99	25.62	15.62	-0.24
8.56	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	40.91	25.54	15.61	-0.24
8.57	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	40.83	25.47	15.60	-0.24
8.58	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	40.75	25.40	15.60	-0.24
8.59	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.06	1.00	0.01	0.00	1.00	0.00	40.67	25.33	15.59	-0.24
8.60	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.07	1.00	0.01	0.00	1.00	0.00	40.59	25.25	15.58	-0.24
8.61	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.07	1.00	0.01	0.00	1.00	0.00	40.51	25.18	15.58	-0.24
8.62	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.07	1.00	0.01	0.00	1.00	0.00	40.43	25.10	15.57	-0.24
8.63	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.07	1.00	0.01	0.00	1.00	0.00	40.35	25.03	15.56	-0.24
8.64	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.07	1.00	0.01	0.00	1.00	0.00	40.27	24.95	15.56	-0.24
8.65	0.01	0.00	0.01	0.00	0.08	0.08	-0.02	-0.32	0.07	1.00	0.01	0.00	1.00	0.00	40.19	24.88	15.55	-0.24
8.66	0.01	0.00	0.01	0.00	0.08	0.08	-0.03	-0.32	0.07	1.00	0.01	0.00	1.00	0.00	40.10	24.80	15.54	-0.24
8.67	0.01	0.00	0.01	0.00	0.08	0.08	-0.03	-0.32	0.07	1.00	0.01	0.00	1.00	0.00	40.02	24.73	15.54	-0.25
8.68	0.01	0.00	0.01	0.00	0.08	0.08	-0.03	-0.32	0.07	1.00	0.01	0.00	1.00	0.00	39.94	24.65	15.53	-0.25
8.69	0.01	0.00	0.01	0.00	0.08	0.08	-0.03	-0.32	0.08	1.00	0.01	0.00	1.00	0.00	39.85	24.57	15.52	-0.25
8.70	0.01	0.00	0.01	0.00	0.08	0.08	-0.03	-0.32	0.08	1.00	0.01	0.00	1.00	0.00	39.77	24.50	15.52	-0.25
8.71	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.08	1.00	0.01	0.00	1.00	0.00	39.68	24.42	15.51	-0.25
8.72	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.08	1.00	0.01	0.00	1.00	0.00	39.60	24.34	15.51	-0.25
8.73	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.08	1.00	0.01	0.00	1.00	0.00	39.51	24.26	15.50	-0.25
8.74	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.08	1.00	0.01	0.00	1.00	0.00	39.43	24.18	15.49	-0.25
8.75	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.08	1.00	0.01	0.00	1.00	0.00	39.34	24.10	15.49	-0.25
8.76	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.09	1.00	0.01	0.00	1.00	0.00	39.26	24.02	15.48	-0.25
8.77	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.09	1.00	0.01	0.00	1.00	0.00	39.17	23.94	15.48	-0.25
8.78	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.09	1.00	0.01	0.00	1.00	0.00	39.08	23.86	15.47	-0.25
8.79	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.09	1.00	0.01	0.00	1.00	0.00	38.99	23.78	15.46	-0.25
8.80	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.09	1.00	0.01	0.00	1.00	0.00	38.90	23.70	15.46	-0.25
8.81	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.09	1.00	0.01	0.00	1.00	0.00	38.82	23.61	15.45	-0.25
8.82	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.09	1.00	0.01	0.00	1.00	0.00	38.73	23.53	15.45	-0.25
8.83	0.01	0.00	0.01	0.00	0.09	0.09	-0.03	-0.32	0.10	1.00	0.01	0.00	1.00	0.00	38.64	23.45	15.44	-0.25
8.84	0.01	0.00	0.01	0.00	0.10	0.10	-0.03	-0.32	0.10	1.00	0.01	0.00	1.00	0.00	38.55	23.36	15.43	-0.25
8.85	0.01	0.00	0.01	0.00	0.10	0.10	-0.03	-0.32	0.10	1.00	0.01	0.00	1.00	0.00	38.45	23.28	15.43	-0.25
8.86	0.01	0.00	0.01	0.00	0.10	0.10	-0.04	-0.32	0.10	1.00	0.01	0.00	1.00	0.00	38.36	23.19	15.42	-0.25
8.87	0.01	0.00	0.01	0.00	0.10	0.10	-0.04	-0.32	0.10	1.00	0.01	0.00	1.00	0.00	38.27	23.11	15.42	-0.25
8.88	0.01	0.00	0.01	0.00	0.10	0.10	-0.04	-0.32	0.11	1.00	0.01	0.00	1.00	0.00	38.18	23.02	15.41	-0.25
8.89	0.01	0.00	0.01	0.00	0.10	0.10	-0.04	-0.32	0.11	1.00	0.01	0.00	0.99	0.00	38.09	22.93	15.41	-0.25
8.90	0.01	0.00	0.01	0.00	0.10	0.10	-0.04	-0.32	0.11	1.00	0.01	0.01	0.99	0.00	37.99	22.84	15.40	-0.25
8.91	0.01	0.00	0.01	0.00	0.10	0.10	-0.04	-0.32	0.11	1.00	0.01	0.01	0.99	0.00	37.90	22.76	15.40	-0.25
8.92	0.01	0.00	0.01	0.00	0.10	0.10	-0.04	-0.32	0.11	1.00	0.01	0.01	0.99	0.00	37.80	22.67	15.39	-0.25
8.93	0.01	0.00	0.01	0.00	0.10	0.10	-0.04	-0.32	0.12	1.00	0.01	0.01	0.99	0.00	37.71	22.58	15.38	-0.25
8.94	0.01	0.00	0.01	0.00	0.11	0.11	-0.04	-0.32	0.12	1.00	0.01	0.01	0.99	0.00	37.61	22.49	15.38	-0.25
8.95	0.01	0.00	0.01	0.00	0.11	0.11	-0.04	-0.32	0.12	1.00	0.01	0.01	0.99	0.00	37.51	22.39	15.37	-0.25
8.96	0.01	0.00	0.01	0.00	0.11	0.11	-0.04	-0.32	0.12	1.00	0.01	0.01	0.99	0.00	37.42	22.30	15.37	-0.25
8.97	0.01	0.00	0.01	0.00	0.11	0.11	-0.04	-0.32	0.13	1.00	0.01	0.01	0.99	0.00	37.32	22.21	15.36	-0.25
8.98	0.01	0.00	0.01	0.00	0.11	0.11	-0.04	-0.32	0.13	1.00	0.01	0.01	0.99	0.00	37.22	22.12	15.36	-0.26
8.99	0.01	0.00	0.01	0.00	0.11	0.11	-0.05	-0.32	0.13	1.00	0.01	0.01	0.99	0.00	37.12	22.02	15.35	-0.26
9.00	0.01	0.00	0.01	0.00	0.11	0.11	-0.05	-0.32	0.13	1.00	0.01	0.01	0.99	0.00	37.02	21.93	15.35	-0.26
9.01	0.01	0.00	0.01	0.00	0.11	0.11	-0.05	-0.32	0.14	1.00	0.01	0.01	0.99	0.00	36.92	21.83	15.34	-0.26
9.02	0.01	0.00	0.01	0.00	0.11	0.11	-0.05	-0.32	0.14	1.00	0.01	0.01	0.99	0.00	36.82	21.74	15.34	-0.26
9.03	0.01	0.00	0.01	0.00	0.12	0.12	-0.05	-0.32	0.14	1.00	0.01	0.01	0.99	0.00	36.72	21.64	15.33	-0.26
9.04	0.01	0.00	0.01	0.00	0.12	0.12	-0.05	-0.32	0.15	1.00	0.01	0.01	0.99	0.00	36.61	21.54	15.33	-0.26
9.05	0.01	0.00	0.01	0.00	0.12	0.12	-0.05	-0.32	0.15	1.00	0.01	0.01	0.99	0.00	36.51	21.44	15.32	-0.26
9.06	0.01	0.00	0.01	0.00	0.12	0.12	-0.05	-0.32	0.15	1.00	0.01	0.01	0.99	0.00	36.40	21.34	15.32	-0.26
9.07	0.01	0.00	0.01	0.00	0.12	0.12	-0.05	-0.32	0.16	1.00	0.01	0.01	0.99	0.00	36.30	21.24	15.31	-0.26
9.08	0.01	0.00	0.01	0.00	0.12	0.12	-0.06	-0.32	0.16	1.00	0.02	0.01	0.99	0.00	36.19	21.14	15.31	-0.26
9.09	0.01	0.00	0.01	0.00	0.12	0.12	-0.06	-0.32	0.16	1.00	0.02	0.01	0.99	0.00	36.09	21.04	15.30	-0.26
9.10	0.01	0.00	0.01	0.00	0.12	0.12	-0.06	-0.32	0.17	1.00	0.02	0.01	0.99	0.00	35.98	20.94	15.30	-0.26
9.11	0.01	0.00	0.01	0.00	0.13	0.13	-0.06	-0.32	0.17	1.00	0.02	0.01	0.99	0.00	35.87	20.83	15.29	-0.26
9.12	0.01	0.00	0.01	0.00	0.13	0.13	-0.06	-0.32	0.17	1.00	0.02	0.01	0.99	0.00	35.76	20.73	15.29	-0.26
9.13	0.01	0.00	0.01	0.00	0.13	0.13	-0.06	-0.32	0.18	1.00	0.02	0.01	0.99	0.00	35.65	20.62	15.29	-0.26
9.14	0.01	0.00	0.01	0.00	0.13	0.13	-0.06	-0.32	0.18	1.00	0.02	0.01	0.99	0.00	35.54	20.51	15.28	-0.26
9.15	0.02	0.00	0.02	0.00	0.13	0.13	-0.06	-0.32	0.19	1.00	0.02	0.01	0.99	0.00	35.42	20.41	15.28	-0.26
9.16	0.02	0.00	0.02	0.00	0.13	0.13	-0.07	-0.32	0.19	1.00	0.02	0.01	0.99	0.00	35.31	20.30	15.27	-0.26
9.17	0.02	0.00	0.02	0.00	0.14	0.14	-0.07	-0.32	0.20	1.00	0.02	0.01	0.99	0.00	35.19	20.19	15.27	-0.26
9.18	0.02	0.00	0.02	0.00	0.14	0.14	-0.07	-0.32	0.20	1.00	0.02	0.01	0.99	0.00	35.08	20.08	15.26	-0.26
9.19	0.02	0.00	0.02	0.00	0.14	0.14	-0.07	-0.32	0.21	0.99	0.02	0.01	0.99	0.00	34.96	19.96	15.26	-0.26
9.20	0.02	0.00	0.02	0.00	0.14	0.14	-0.07	-0.32	0.21	0.99	0.02	0.01	0.99	0.00	34.84	19.85	15.25	-0.26
9.21	0.02	0.00	0.02	0.00	0.14	0.14	-0.08	-0.32	0.22	0.99	0.02	0.01	0.99	0.00	34.72	19.74	15.25	-0.26
9.22	0.02	0.00	0.02	0.00	0.14	0.14	-0.08	-0.32	0.22	0.99	0.02	0.01	0.99	0.00	34.60	19.62	15.25	-0.26
9.23	0.02	0.00	0.02	0.00	0.15	0.15	-0.08	-0.32	0.23	0.99	0.02	0.01	0.99	0.00	34.48	19.50	15.24	-0.26
9.24	0.02	0.00	0.02	0.00	0.15	0.15	-0.08	-0.32	0.23	0.99	0.02	0.01	0.99	0.00	34.36	19.38	15.24	-0.26
9.25	0.02	0.00	0.02	0.00	0.15	0.15	-0.08	-0.32	0.24	0.99	0.02	0.01	0.99	0.00	34.24	19.26	15.23	-0.26
9.26	0.02	0.00	0.02	0.00	0.15	0.15	-0.09	-0.32	0.25	0.99	0.02	0.01	0.99	0.00	34.11	19.14	15.23	-0.26
9.27	0.02	0.00	0.02	0.00	0.16	0.16	-0.09	-0.32	0.25	0.99	0.02	0.01	0.99	0.00	33.98	19.02	15.23	-0.26
9.28	0.02	0.00	0.02	0.00	0.16	0.16	-0.09	-0.32	0.26	0.99	0.02	0.01	0.99	0.00	33.86	18.90	15.22	-0.26
9.29	0.02	0.00	0.02	0.00	0.16	0.16	-0.09	-0.32	0.27	0.99	0.02	0.01	0.99	0.00	33.73	18.77	15.22	-0.26
9.30	0.02	0.00	0.02	0.00	0.16	0.16	-0.10	-0.32	0.28	0.99	0.02	0.01	0.99	0.00	33.60	18.64	15.21	-0.26
9.31	0.02	0.00	0.02	0.00	0.16	0.16	-0.10	-0.32	0.28	0.99	0.02	0.01	0.99	0.00	33.46	18.52	15.21	-0.26
9.32	0.02	0.00	0.02	0.00	0.17	0.17	-0.10	-0.32	0.29	0.99	0.02	0.01	0.99	0.00	33.33	18.39	15.21	-0.26
9.33	0.02	0.00	0.02	0.00	0.17	0.17	-0.10	-0.32	0.30	0.99	0.02	0.01	0.99	0.00	33.20	18.26	15.20	-0.26
9.34	0.02	0.00	0.02	0.00	0.17	0.17	-0.11	-0.32	0.31	0.99	0.02	0.01	0.98	0.00	33.06	18.12	15.20	-0.26
9.35	0.02	0.00	0.02	0.00	0.17	0.17	-0.11	-0.32	0.32	0.99	0.02	0.02	0.98	0.00	32.92	17.99	15.19	-0.26
9.36	0.02	0.00	0.02	0.00	0.18	0.18	-0.11	-0.32	0.33	0.99	0.02	0.02	0.98	0.00	32.78	17.85	15.19	-0.26
9.37	0.02	0.00	0.02	0.00	0.18	0.18	-0.12	-0.32	0.34	0.99	0.02	0.02	0.98	0.00	32.64	17.71	15.19	-0.26
9.38	0.02	0.00	0.02	0.00	0.18	0.18	-0.12	-0.32	0.35	0.99	0.02	0.02	0.98	0.00	32.50	17.57	15.18	-0.26
9.39	0.02	0.00	0.02	0.00	0.19	0.19	-0.13	-0.32	0.36	0.99	0.02	0.02	0.98	0.00	32.35	17.43	15.18	-0.26
9.40	0.02	0.00	0.02	0.00	0.19	0.19	-0.13	-0.32	0.37	0.99	0.02	0.02	0.98	0.00	32.20	17.29	15.18	-0.26
9.41	0.02	0.00	0.02	0.00	0.19	0.19	-0.13	-0.32	0.39	0.99	0.02	0.02	0.98	0.00	32.05	17.14	15.17	-0.26
9.42	0.02	0.00	0.02	0.00	0.20	0.20	-0.14	-0.32	0.40	0.99	0.02	0.02	0.98	0.00	31.90	16.99	15.17	-0.26
9.43	0.02	0.00	0.02	0.00	0.20	0.20	-0.14	-0.32	0.41	0.99	0.03	0.02	0.98	0.00	31.75	16.85	15.17	-0.26
9.44	0.02	0.00	0.02	0.00	0.20	0.20	-0.15	-0.32	0.43	0.99	0.03	0.02	0.98	0.00	31.60	16.69	15.17	-0.26
9.45	0.02	0.00	0.02	0.00	0.21	0.21	-0.15	-0.32	0.44	0.99	0.03	0.02	0.98	0.00	31.44	16.54	15.16	-0.26
9.46	0.02	0.00	0.02	0.00	0.21	0.21	-0.16	-0.32	0.46	0.99	0.03	0.02	0.98	0.00	31.28	16.38	15.16	-0.26
9.47	0.02	0.00	0.02	0.00	0.21	0.21	-0.17	-0.32	0.48	0.99	0.03	0.02	0.98	0.00	31.12	16.22	15.16	-0.26
9.48	0.02	0.01	0.02	0.01	0.22	0.22	-0.17	-0.32	0.49	0.99	0.03	0.02	0.98	0.00	30.95	16.06	15.15	-0.26
9.49	0.02	0.01	0.02	0.01	0.22	0.22	-0.18	-0.32	0.51	0.99	0.03	0.02	0.97	0.00	30.79	15.90	15.15	-0.26
9.50	0.02	0.01	0.02	0.01	0.23	0.23	-0.19	-0.32	0.53	0.99	0.03	0.03	0.97	0.00	30.62	15.73	15.15	-0.26
9.51	0.02	0.01	0.02	0.01	0.23	0.23	-0.19	-0.32	0.55	0.99	0.03	0.03	0.97	0.00	30.45	15.56	15.15	-0.26
9.52	0.02	0.01	0.02	0.01	0.24	0.24	-0.20	-0.32	0.58	0.99	0.03	0.03	0.97	0.00	30.28	15.39	15.15	-0.26
9.53	0.03	0.01	0.03	0.01	0.24	0.24	-0.21	-0.32	0.60	0.98	0.03	0.03	0.97	0.00	30.10	15.22	15.14	-0.26
9.54	0.03	0.01	0.03	0.01	0.25	0.25	-0.22	-0.32	0.63	0.98	0.03	0.03	0.97	0.00	29.92	15.04	15.14	-0.26
9.55	0.03	0.01	0.03	0.01	0.25	0.25	-0.23	-0.32	0.65	0.98	0.03	0.03	0.97	0.00	29.74	14.86	15.14	-0.26
9.56	0.03	0.01	0.03	0.01	0.26	0.26	-0.24	-0.32	0.68	0.98	0.03	0.03	0.97	0.00	29.55	14.68	15.14	-0.26
9.57	0.03	0.01	0.03	0.01	0.26	0.26	-0.25	-0.32	0.71	0.98	0.03	0.03	0.96	0.00	29.37	14.49	15.14	-0.26
9.58	0.03	0.01	0.03	0.01	0.27	0.27	-0.26	-0.32	0.74	0.98	0.03	0.04	0.96	0.00	29.17	14.30	15.14	-0.26
9.59	0.03	0.01	0.03	0.01	0.28	0.28	-0.27	-0.32	0.78	0.98	0.03	0.04	0.96	0.00	28.98	14.11	15.13	-0.26
9.60	0.03	0.01	0.03	0.01	0.28	0.28	-0.28	-0.32	0.81	0.98	0.04	0.04	0.96	0.00	28.78	13.91	15.13	-0.26
9.61	0.03	0.01	0.03	0.01	0.29	0.29	-0.29	-0.32	0.85	0.98	0.04	0.04	0.96	0.00	28.58	13.71	15.13	-0.26
9.62	0.03	0.01	0.03	0.01	0.30	0.30	-0.31	-0.32	0.89	0.98	0.04	0.04	0.96	0.00	28.38	13.50	15.13	-0.26
9.63	0.03	0.01	0.03	0.01	0.31	0.31	-0.32	-0.32	0.94	0.98	0.04	0.05	0.95	0.00	28.17	13.30	15.13	-0.26
9.64	0.03	0.01	0.03	0.01	0.32	0.32	-0.34	-0.32	0.98	0.98	0.04	0.05	0.95	0.00	27.96	13.08	15.13	-0.26
9.65	0.03	0.01	0.03	0.01	0.32	0.32	-0.36	-0.32	1.03	0.97	0.04	0.05	0.95	0.00	27.74	12.87	15.13	-0.26
9.66	0.03	0.01	0.03	0.01	0.33	0.33	-0.38	-0.32	1.09	0.97	0.04	0.05	0.95	0.00	27.53	12.65	15.13	-0.26
9.67	0.03	0.01	0.03	0.01	0.34	0.34	-0.40	-0.32	1.15	0.97	0.04	0.06	0.94	0.00	27.30	12.42	15.14	-0.25
9.68	0.03	0.01	0.03	0.01	0.35	0.35	-0.42	-0.32	1.21	0.97	0.04	0.06	0.94	0.00	27.08	12.19	15.14	-0.25
9.69	0.04	0.01	0.04	0.01	0.37	0.37	-0.44	-0.32	1.28	0.97	0.04	0.06	0.94	0.00	26.84	11.96	15.14	-0.25
9.70	0.04	0.01	0.04	0.01	0.38	0.38	-0.47	-0.32	1.36	0.97	0.05	0.07	0.93	0.00	26.61	11.72	15.14	-0.25
9.71	0.04	0.01	0.04	0.01	0.39	0.39	-0.50	-0.32	1.44	0.96	0.05	0.07	0.93	0.00	26.37	11.47	15.15	-0.25
9.72	0.04	0.02	0.04	0.02	0.40	0.40	-0.53	-0.32	1.53	0.96	0.05	0.07	0.92	0.00	26.13	11.22	15.15	-0.25
9.73	0.04	0.02	0.04	0.02	0.42	0.42	-0.56	-0.32	1.62	0.96	0.05	0.08	0.92	0.00	25.88	10.97	15.15	-0.25
9.74	0.04	0.02	0.04	0.02	0.43	0.43	-0.60	-0.32	1.73	0.96	0.05	0.08	0.92	0.00	25.62	10.71	15.16	-0.25
9.75	0.04	0.02	0.04	0.02	0.45	0.45	-0.64	-0.32	1.84	0.95	0.05	0.09	0.91	0.00	25.37	10.45	15.17	-0.24
9.76	0.04	0.02	0.04	0.02	0.47	0.47	-0.68	-0.32	1.96	0.95	0.05	0.09	0.90	0.00	25.11	10.17	15.17	-0.24
9.77	0.04	0.02	0.04	0.02	0.49	0.49	-0.72	-0.32	2.10	0.95	0.06	0.10	0.90	0.00	24.84	9.90	15.18	-0.24
9.78	0.04	0.02	0.04	0.02	0.51	0.51	-0.78	-0.32	2.25	0.94	0.06	0.11	0.89	0.00	24.57	9.62	15.19	-0.24
9.79	0.04	0.02	0.04	0.02	0.53	0.53	-0.83	-0.32	2.41	0.94	0.06	0.11	0.88	0.00	24.30	9.33	15.20	-0.23
9.80	0.05	0.03	0.05	0.03	0.56	0.56	-0.89	-0.32	2.60	0.94	0.06	0.12	0.88	0.00	24.02	9.04	15.21	-0.23
9.81	0.05	0.03	0.05	0.03	0.59	0.59	-0.96	-0.32	2.79	0.93	0.06	0.13	0.87	0.00	23.74	8.74	15.23	-0.23
9.82	0.05	0.03	0.05	0.03	0.62	0.62	-1.04	-0.32	3.01	0.93	0.07	0.14	0.86	0.00	23.46	8.44	15.25	-0.23
9.83	0.05	0.03	0.05	0.03	0.65	0.65	-1.12	-0.32	3.26	0.92	0.07	0.15	0.85	0.00	23.17	8.13	15.26	-0.22
9.84	0.05	0.03	0.05	0.03	0.69	0.69	-1.21	-0.32	3.52	0.91	0.07	0.16	0.83	0.00	22.89	7.82	15.29	-0.22
9.85	0.05	0.04	0.05	0.04	0.73	0.73	-1.32	-0.32	3.82	0.91	0.07	0.17	0.82	0.01	22.60	7.51	15.31	-0.21
9.86	0.05	0.04	0.05	0.04	0.78	0.78	-1.43	-0.32	4.15	0.90	0.07	0.19	0.81	0.01	22.32	7.19	15.34	-0.21
9.87	0.05	0.04	0.05	0.04	0.84	0.84	-1.55	-0.32	4.50	0.89	0.08	0.20	0.79	0.01	22.04	6.88	15.37	-0.20
9.88	0.05	0.05	0.05	0.05	0.90	0.90	-1.69	-0.32	4.90	0.88	0.08	0.21	0.78	0.01	21.76	6.56	15.40	-0.20
9.89	0.05	0.05	0.05	0.05	0.98	0.98	-1.84	-0.32	5.33	0.87	0.08	0.23	0.76	0.01	21.49	6.25	15.44	-0.19
9.90	0.05	0.06	0.05	0.06	1.07	1.07	-2.00	-0.32	5.79	0.86	0.08	0.25	0.75	0.01	21.23	5.94	15.48	-0.19
9.91	0.05	0.06	0.05	0.06	1.17	1.17	-2.17	-0.32	6.29	0.85	0.09	0.27	0.73	0.01	20.99	5.64	15.53	-0.18
9.92	0.05	0.07	0.05	0.07	1.30	1.30	-2.36	-0.32	6.82	0.84	0.09	0.28	0.71	0.01	20.75	5.34	15.58	-0.17
9.93	0.05	0.07	0.05	0.07	1.46	1.46	-2.56	-0.32	7.38	0.83	0.09	0.30	0.69	0.01	20.54	5.07	15.63	-0.17
9.94	0.05	0.08	0.05	0.08	1.67	1.67	-2.76	-0.32	7.95	0.82	0.09	0.32	0.67	0.01	20.34	4.81	15.69	-0.16
